Date,Tweets,Impressions,Engagements,Retweets,Replies,Likes,Profile,URL,Hashtag,Details,Follows,Media
2020-05-16,5,4597,114,12,0,19,7,18,0,41,0,17
2020-05-17,4,7031,78,8,0,19,6,7,1,21,0,16
2020-05-18,5,7089,120,11,0,23,7,27,3,36,0,13
2020-05-19,6,11434,141,16,2,29,18,9,5,51,0,11
2020-05-20,6,8919,160,23,0,40,13,31,0,44,0,9
2020-05-21,7,7638,260,20,1,39,26,7,1,142,0,24
2020-05-22,8,15122,227,19,2,35,38,32,3,80,0,18
2020-05-23,3,3193,40,3,0,3,10,4,1,14,0,5
2020-05-24,1,1418,50,4,0,8,9,0,0,29,0,0
2020-05-25,10,26399,371,33,1,63,42,31,1,165,0,35
2020-05-26,3,4506,102,11,0,19,10,4,1,54,0,3
2020-05-27,4,6424,174,8,0,17,42,8,2,70,0,25
2020-05-28,7,9174,136,14,0,25,18,17,2,60,0,0
2020-05-29,5,5825,46,7,0,9,1,8,0,8,0,13
2020-05-30,5,10398,135,15,0,27,7,20,2,48,0,16
2020-05-31,1,4351,81,4,0,13,6,17,0,29,0,12
2020-06-01,4,3623,94,4,0,8,9,9,5,48,0,11
2020-06-02,4,5275,55,1,0,13,7,3,1,28,0,2
2020-06-03,5,6262,161,14,0,18,22,18,0,79,0,10
2020-06-04,5,5103,69,9,1,14,0,10,1,34,0,0
2020-06-05,5,5818,76,5,0,16,4,4,1,40,0,6
2020-06-06,3,4831,164,7,2,21,16,23,0,76,0,19
2020-06-07,3,4557,99,11,0,21,18,16,0,18,0,15
2020-06-08,7,11621,197,19,0,27,29,17,1,64,0,40
2020-06-09,9,9186,138,13,0,18,21,19,3,52,0,12
2020-06-10,4,5505,115,10,0,32,12,2,8,47,0,4
2020-06-11,12,17600,364,35,0,45,52,37,1,167,0,27
2020-06-12,9,13206,168,14,1,21,19,24,2,72,0,15
2020-06-13,2,1562,80,5,1,15,9,11,0,32,0,7
2020-06-14,2,1741,41,1,0,5,3,12,0,19,0,1
2020-06-15,5,6995,112,13,0,26,6,21,0,40,0,6
2020-06-16,6,9468,191,21,0,46,25,32,1,44,0,22
2020-06-17,4,6548,109,6,0,12,17,12,0,33,0,29
2020-06-18,2,1727,38,2,0,6,5,13,0,11,0,1
2020-06-19,3,4840,130,12,0,23,10,33,4,48,0,0
2020-06-20,1,1473,46,2,0,16,3,20,0,5,0,0
2020-06-21,1,1030,15,2,0,5,1,2,0,5,0,0
2020-06-22,3,3788,74,5,1,18,9,13,0,28,0,0
2020-06-23,6,14690,270,27,2,55,45,29,0,90,0,22
2020-06-24,2,4656,173,18,0,35,13,46,2,56,0,3
2020-06-25,2,2640,64,2,0,15,7,8,2,17,0,13
2020-06-26,2,9299,163,21,0,28,4,20,2,48,0,40
2020-06-27,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-28,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-29,3,9738,162,14,1,32,16,26,0,42,0,31
2020-06-30,4,5945,101,7,0,35,10,9,2,38,0,0
2020-07-01,3,2804,83,8,0,30,5,11,1,28,0,0
2020-07-02,2,1892,28,3,0,8,3,6,0,8,0,0
2020-07-03,1,1559,52,8,0,13,1,6,2,10,0,12
2020-07-04,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-05,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-06,5,14993,174,13,0,33,17,33,0,36,0,42
2020-07-07,4,3806,73,2,0,8,8,9,0,33,0,13
2020-07-08,6,5684,81,8,0,17,8,17,0,26,0,5
2020-07-09,5,4196,81,8,0,14,7,12,0,30,0,10
2020-07-10,9,8836,255,11,6,42,15,12,1,89,0,79
2020-07-11,2,3714,114,11,0,17,10,9,2,45,0,20
2020-07-12,1,966,24,2,0,4,0,3,0,13,0,2
2020-07-13,8,8179,116,2,0,21,10,14,2,39,0,28
2020-07-14,3,5533,105,17,0,16,8,14,0,30,0,20
